0.6923,1.4000,0.9487,0.0013,1,1,1
0.7436,1.4000,0.9487,0.0013,1,1,1
0.7949,1.4000,0.9487,0.0013,1,1,1
0.8462,1.4000,0.9487,0.0013,1,1,1
0.8974,1.4000,0.9487,0.0013,1,1,1
0.9487,1.4000,0.9487,0.0013,1,1,1
1.0000,1.4000,0.9487,0.0013,1,1,1
-1.0000,1.4000,1.0000,0.0013,1,1,1
-0.9487,1.4000,1.0000,0.0013,1,1,1
-0.8974,1.4000,1.0000,0.0013,1,1,1
-0.8462,1.4000,1.0000,0.0013,1,1,1
-0.7949,1.4000,1.0000,0.0013,1,1,1
-0.7436,1.4000,1.0000,0.0013,1,1,1
-0.6923,1.4000,1.0000,0.0013,1,1,1
-0.6410,1.4000,1.0000,0.0013,1,1,1
-0.5897,1.4000,1.0000,0.0013,1,1,1
-0.5385,1.4000,1.0000,0.0013,1,1,1
-0.4872,1.4000,1.0000,0.0013,1,1,1
-0.4359,1.4000,1.0000,0.0013,1,1,1
-0.3846,1.4000,1.0000,0.0013,1,1,1
-0.3333,1.4000,1.0000,0.0013,1,1,1
-0.2821,1.4000,1.0000,0.0013,1,1,1
-0.2308,1.4000,1.0000,0.0013,1,1,1
-0.1795,1.4000,1.0000,0.0013,1,1,1
-0.1282,1.4000,1.0000,0.0013,1,1,1
-0.0769,1.4000,1.0000,0.0013,1,1,1
-0.0256,1.4000,1.0000,0.0013,1,1,1
0.0256,1.4000,1.0000,0.0013,1,1,1
0.0769,1.4000,1.0000,0.0013,1,1,1
0.1282,1.4000,1.0000,0.0013,1,1,1
0.1795,1.4000,1.0000,0.0013,1,1,1
0.2308,1.4000,1.0000,0.0013,1,1,1
0.2821,1.4000,1.0000,0.0013,1,1,1
0.3333,1.4000,1.0000,0.0013,1,1,1
0.3846,1.4000,1.0000,0.0013,1,1,1
0.4359,1.4000,1.0000,0.0013,1,1,1
0.4872,1.4000,1.0000,0.0013,1,1,1
0.5385,1.4000,1.0000,0.0013,1,1,1
0.5897,1.4000,1.0000,0.0013,1,1,1
0.6410,1.4000,1.0000,0.0013,1,1,1
0.6923,1.4000,1.0000,0.0013,1,1,1
0.7436,1.4000,1.0000,0.0013,1,1,1
0.7949,1.4000,1.0000,0.0013,1,1,1
0.8462,1.4000,1.0000,0.0013,1,1,1
0.8974,1.4000,1.0000,0.0013,1,1,1
0.9487,1.4000,1.0000,0.0013,1,1,1
1.0000,1.4000,1.0000,0.0013,1,1,1
